model_version,control_model_version,challenger_model_version,ensemble_status,player_id,player_code,web_name,team_id,team_name,position,price,bonus_transition_multiplier,component_expected_minutes_next_1,component_expected_minutes_next_3,component_expected_minutes_next_5,component_expected_minutes_next_6,component_expected_points_next_1,component_expected_points_next_3,component_expected_points_next_5,component_expected_points_next_6,component_points_p10_next_1,component_points_p10_next_3,component_points_p10_next_5,component_points_p10_next_6,component_points_p50_next_1,component_points_p50_next_3,component_points_p50_next_5,component_points_p50_next_6,component_points_p90_next_1,component_points_p90_next_3,component_points_p90_next_5,component_points_p90_next_6,component_probability_10_plus_next_1,component_probability_10_plus_next_3,component_probability_10_plus_next_5,component_probability_10_plus_next_6,component_probability_15_plus_next_1,component_probability_15_plus_next_3,component_probability_15_plus_next_5,component_probability_15_plus_next_6,control_expected_points_next_1,control_expected_points_next_3,control_expected_points_next_5,control_expected_points_next_6,control_points_p10_next_1,control_points_p10_next_3,control_points_p10_next_5,control_points_p10_next_6,control_points_p50_next_1,control_points_p50_next_3,control_points_p50_next_5,control_points_p50_next_6,control_points_p90_next_1,control_points_p90_next_3,control_points_p90_next_5,control_points_p90_next_6,current_season_fixture_count,ensemble_point_weight,ensemble_probability_10_plus_weight,ensemble_probability_15_plus_weight,ensemble_probability_6_plus_weight,expected_minutes_next_1,expected_minutes_next_3,expected_minutes_next_5,expected_minutes_next_6,expected_points_next_1,expected_points_next_3,expected_points_next_5,expected_points_next_6,points_p10_next_1,points_p10_next_3,points_p10_next_5,points_p10_next_6,points_p50_next_1,points_p50_next_3,points_p50_next_5,points_p50_next_6,points_p90_next_1,points_p90_next_3,points_p90_next_5,points_p90_next_6,previous_season,previous_season_minutes,probability_10_plus_next_1,probability_10_plus_next_3,probability_10_plus_next_5,probability_10_plus_next_6,probability_15_plus_next_1,probability_15_plus_next_3,probability_15_plus_next_5,probability_15_plus_next_6,probability_3_or_fewer_next_1,probability_3_or_fewer_next_3,probability_3_or_fewer_next_5,probability_3_or_fewer_next_6,probability_6_plus_next_1,probability_6_plus_next_3,probability_6_plus_next_5,probability_6_plus_next_6,projection_evidence_source,qualitative_points_delta_next_1,qualitative_points_delta_next_3,qualitative_points_delta_next_5,qualitative_points_delta_next_6,quantitative_expected_points_next_1,quantitative_expected_points_next_3,quantitative_expected_points_next_5,quantitative_expected_points_next_6,scoring_rules_version,value_next_1,value_next_3,value_next_5,value_next_6
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,11,500040,Mosquera,1,Arsenal,Defender,5.3,1.0,32.74,96.19,157.14,188.84,1.463,4.2,6.618,7.975,0,0,1.0,2.0,0,3.0,6.0,7.0,6.0,9.0,13.0,15.0,0.0033,0.0983,0.245,0.3417,0.0,0.0117,0.075,0.1167,0.982,2.83,4.732,5.763,0,0,0,0,0,2,4,5,4,8,11,12,5,0.0,0.0,0.0,0.0,23.57,65.5,109.47,134.12,0.982,2.83,4.732,5.763,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,8.0,11.0,12.0,2025/26,986.0,0.0033,0.045,0.1367,0.2033,0.0,0.005,0.0333,0.06,0.89,0.6667,0.4783,0.3983,0.0733,0.2367,0.4017,0.4767,current_and_previous_season,0.0,0.0,0.0,0.0,0.982,2.83,4.732,5.763,fpl-2026-27,0.1852,0.534,0.8928,1.0874
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,12,223340,Saka,1,Arsenal,Midfielder,9.5,1.0188,64.18,191.4,324.49,390.77,5.808,15.112,25.04,29.873,0,5.0,12.0,16.0,4.0,14.0,24.0,29.0,14.0,26.0,39.0,44.0,0.2033,0.7033,0.9467,0.98,0.0917,0.49,0.8333,0.9333,5.94,16.663,27.395,32.642,2,9,17,22,5,16,27,32,11,25,38,45,5,0.0,0.0,0.0,0.0,79.19,236.67,396.07,475.29,5.94,16.663,27.395,32.642,2.0,9.0,17.0,22.0,5.0,16.0,27.0,32.0,11.0,25.0,38.0,45.0,2025/26,2218.0,0.15,0.8767,1.0,1.0,0.04,0.5883,0.9667,0.9967,0.37,0.0017,0.0,0.0,0.465,0.99,1.0,1.0,current_and_previous_season,0.0,0.0,0.0,0.0,5.94,16.663,27.395,32.642,fpl-2026-27,0.6253,1.754,2.8837,3.436
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,13,204480,Rice,1,Arsenal,Midfielder,7.4,1.0188,50.68,149.18,243.48,293.17,2.443,6.727,10.94,13.118,0,2.0,5.0,6.0,2.0,6.0,10.0,13.0,6.0,12.0,18.0,21.0,0.0167,0.2167,0.5717,0.7167,0.0017,0.0383,0.23,0.3833,3.137,8.507,13.757,16.448,0,3,7,9,3,8,13,16,7,14,21,24,5,0.0,0.0,0.0,0.0,65.1,189.65,311.23,371.63,3.137,8.507,13.757,16.448,0.0,3.0,7.0,9.0,3.0,8.0,13.0,16.0,7.0,14.0,21.0,24.0,2025/26,3093.0,0.0267,0.3667,0.7767,0.875,0.0033,0.0917,0.4217,0.59,0.6333,0.1067,0.0117,0.0033,0.1733,0.7467,0.9467,0.9717,current_and_previous_season,0.0,0.0,0.0,0.0,3.137,8.507,13.757,16.448,fpl-2026-27,0.4239,1.1496,1.859,2.2228
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,14,232413,Eze,1,Arsenal,Midfielder,6.3,1.0188,17.87,55.54,94.33,112.72,1.07,3.395,5.712,6.783,0,1.0,2.0,3.0,1.0,3.0,5.0,6.0,2.0,7.0,10.0,12.0,0.0033,0.0283,0.1317,0.205,0.0017,0.005,0.025,0.0483,1.303,3.913,6.442,7.67,0,1,3,4,1,3,5,7,3,8,11,13,5,0.0,0.0,0.0,0.0,21.05,62.94,105.49,125.24,1.303,3.913,6.442,7.67,0.0,1.0,3.0,4.0,1.0,3.0,5.0,7.0,3.0,8.0,11.0,13.0,2025/26,1885.0,0.0017,0.05,0.185,0.2683,0.0,0.0067,0.0283,0.065,0.9217,0.5983,0.155,0.075,0.05,0.2067,0.485,0.6583,current_and_previous_season,0.0,0.0,0.0,0.0,1.303,3.913,6.442,7.67,fpl-2026-27,0.2069,0.6212,1.0225,1.2175
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,15,184029,Ødegaard,1,Arsenal,Midfielder,6.8,1.0188,61.49,185.03,307.59,370.14,3.942,10.858,17.875,21.392,0,5.0,10.0,13.0,3.0,10.0,17.0,21.0,9.0,18.0,27.0,31.0,0.0667,0.535,0.9083,0.9617,0.0067,0.22,0.6533,0.8333,4.082,11.397,19.075,22.98,2,6,12,15,3,11,18,22,8,17,27,32,5,0.0,0.0,0.0,0.0,71.39,210.49,348.46,418.52,4.082,11.397,19.075,22.98,2.0,6.0,12.0,15.0,3.0,11.0,18.0,22.0,8.0,17.0,27.0,32.0,2025/26,1363.0,0.05,0.6133,0.975,0.9967,0.0067,0.2317,0.7683,0.9283,0.57,0.005,0.0,0.0,0.2283,0.9483,0.9983,1.0,current_and_previous_season,0.0,0.0,0.0,0.0,4.082,11.397,19.075,22.98,fpl-2026-27,0.6002,1.676,2.8051,3.3794
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,16,248857,Madueke,1,Arsenal,Midfielder,6.2,1.0188,11.3,34.97,57.47,71.09,0.68,2.122,3.502,4.228,0,0,1.0,1.0,0,1.0,3.0,3.0,1.0,5.0,7.0,8.0,0.0,0.0167,0.045,0.065,0.0,0.005,0.0083,0.0117,0.572,1.662,2.847,3.448,0,0,1,1,0,1,2,3,1,3,6,7,5,0.0,0.0,0.0,0.0,9.73,27.74,47.66,57.83,0.572,1.662,2.847,3.448,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,6.0,7.0,2025/26,1205.0,0.0,0.0033,0.0167,0.0233,0.0,0.0,0.0033,0.0033,0.9767,0.9083,0.7417,0.6183,0.0067,0.0317,0.1017,0.165,current_and_previous_season,0.0,0.0,0.0,0.0,0.572,1.662,2.847,3.448,fpl-2026-27,0.0922,0.268,0.4591,0.5562
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,17,195384,Merino,1,Arsenal,Midfielder,5.8,1.0188,19.69,58.58,96.66,116.4,1.367,3.73,6.253,7.45,0,2.0,3.0,4.0,1.0,3.0,5.0,6.0,2.0,8.0,11.0,12.0,0.0083,0.0383,0.165,0.24,0.0017,0.005,0.0383,0.06,1.265,3.688,6.18,7.337,0,2,4,4,1,3,5,6,2,7,10,12,5,0.0,0.0,0.0,0.0,17.59,54.21,90.15,107.9,1.265,3.688,6.18,7.337,0.0,2.0,4.0,4.0,1.0,3.0,5.0,6.0,2.0,7.0,10.0,12.0,2025/26,1024.0,0.0017,0.0267,0.1417,0.2267,0.0,0.0017,0.02,0.0433,0.9333,0.715,0.0883,0.0267,0.0483,0.1783,0.4183,0.7,current_and_previous_season,0.0,0.0,0.0,0.0,1.265,3.688,6.18,7.337,fpl-2026-27,0.2181,0.6359,1.0655,1.2649
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,18,444145,Martinelli,1,Arsenal,Midfielder,6.3,1.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/26,1065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,current_and_previous_season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fpl-2026-27,0.0,0.0,0.0,0.0
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,19,481655,Zubimendi,1,Arsenal,Midfielder,5.3,1.0188,18.94,61.59,103.99,123.7,1.133,3.567,6.002,7.188,0,2.0,3.0,4.0,1.0,3.0,5.0,6.0,2.0,7.0,10.0,11.0,0.0017,0.025,0.115,0.1917,0.0,0.0017,0.02,0.035,1.562,4.718,7.662,9.188,1,3,5,6,1,4,6,8,3,9,12,14,5,0.0,0.0,0.0,0.0,29.18,87.39,143.8,173.34,1.562,4.718,7.662,9.188,1.0,3.0,5.0,6.0,1.0,4.0,6.0,8.0,3.0,9.0,12.0,14.0,2025/26,2991.0,0.0033,0.0617,0.235,0.3517,0.0,0.0067,0.0483,0.0867,0.9167,0.4717,0.0017,0.0,0.0383,0.2517,0.695,0.9667,current_and_previous_season,0.0,0.0,0.0,0.0,1.562,4.718,7.662,9.188,fpl-2026-27,0.2947,0.8902,1.4456,1.7336
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,20,616077,Dowman,1,Arsenal,Midfielder,5.3,1.0188,9.85,28.04,46.24,55.72,0.567,1.548,2.612,3.148,0,0,0,0,0,1.0,2.0,2.0,1.0,4.0,7.0,8.0,0.0033,0.0067,0.03,0.05,0.0,0.0,0.005,0.0067,0.302,0.87,1.478,1.71,0,0,0,0,0,1,1,1,1,2,4,4,5,0.0,0.0,0.0,0.0,4.02,12.39,20.14,23.21,0.302,0.87,1.478,1.71,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2025/26,152.0,0.0,0.0,0.0083,0.01,0.0,0.0,0.0,0.0,0.9833,0.9533,0.8967,0.88,0.0117,0.0267,0.0517,0.0633,current_and_previous_season,0.0,0.0,0.0,0.0,0.302,0.87,1.478,1.71,fpl-2026-27,0.0569,0.1642,0.2789,0.3227
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,22,499175,Nwaneri,1,Arsenal,Midfielder,5.4,1.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/26,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,current_and_previous_season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fpl-2026-27,0.0,0.0,0.0,0.0
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,23,438098,Fábio Vieira,1,Arsenal,Midfielder,5.5,1.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,current_season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fpl-2026-27,0.0,0.0,0.0,0.0
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,24,200641,Nelson,1,Arsenal,Midfielder,5.5,1.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/26,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,current_and_previous_season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fpl-2026-27,0.0,0.0,0.0,0.0
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,25,224117,Gyökeres,1,Arsenal,Forward,7.1,1.015,11.15,31.35,51.4,63.72,0.738,2.147,3.597,4.518,0,0,1.0,1.0,0,1.0,3.0,3.0,2.0,6.0,8.0,9.0,0.0033,0.0167,0.06,0.0917,0.0,0.0017,0.01,0.0167,1.37,3.545,5.84,6.962,0,1,2,2,1,3,5,6,5,8,11,13,5,0.0,0.0,0.0,0.0,17.39,48.91,81.13,98.78,1.37,3.545,5.84,6.962,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6.0,5.0,8.0,11.0,13.0,2025/26,2217.0,0.0083,0.0517,0.1633,0.23,0.0,0.0067,0.0367,0.0617,0.8633,0.6183,0.3467,0.2283,0.065,0.23,0.4417,0.5533,current_and_previous_season,0.0,0.0,0.0,0.0,1.37,3.545,5.84,6.962,fpl-2026-27,0.193,0.4993,0.8225,0.9805
